Name,Address,City,State,Zip,source,CISID,cluster_id,confidence
chevron,2220 pleasant hill rd,duluth,ga,300964632,flna,42123464,0,0.842939079
chevron food mart,1843 pleasant hill rd,duluth,ga,300964623,flna,1220980,0,0.842939079
shephard 12,1931 sw 27th ave,ocala,fl,344712018,flna,2340596,1,0.990064681
shell food mart,874 cassville white rd nw,cartersville,ga,301214721,flna,42160830,2,0.69835633
chevron food mart 7,873 cassville white rd nw,cartersville,ga,301214723,flna,2024411,2,0.69835633
holcomb bridge 01788,1468 holcomb bridge rd,roswell,ga,300762110,flna,1052310,3,0.553148003
holcomb bridge rd ll,1465 holcomb bridge rd,roswell,ga,300762109,flna,42033464,3,0.553148003
holcomb bridge chevr,1360 holcomb bridge rd,roswell,ga,300762125,flna,42283116,3,0.507745687
citgo food mart,3009 canton rd,marietta,ga,300663845,flna,42297104,4,0.527104795
citgo food mart,4796 canton rd,marietta,ga,300663250,flna,1579076,4,0.527104795
walmart nm 2699,1435 thompson bridge rd,gainesville,ga,305011711,flna,42142480,5,0.977709949
walmart nm imp 2699,1435 thompson bridge rd,gainesville,ga,305011711,flna,42142481,5,0.977709949
walmart sc 0510,400 shallowford rd nw,gainesville,ga,305044152,flna,1496994,6,0.969202817
walmart sc imp 510,400 shallowford rd nw,gainesville,ga,305044152,flna,1770731,6,0.969202817
walmart sc 2513,270 walmart way,dahlonega,ga,305330824,flna,1696754,7,0.977709949
walmart sc imp 2513,270 walmart way,dahlonega,ga,305330824,flna,1770739,7,0.977709949
walmart sc 3874,98 power center dr,dawsonville,ga,305349431,flna,2235332,8,0.977709949
walmart sc imp 3874,98 power center dr,dawsonville,ga,305349431,flna,2235333,8,0.977709949
walmart nm 2731,2888 browns bridge rd,gainesville,ga,305045657,flna,42142482,9,0.977709949
walmart nm imp 2731,2888 browns bridge rd,gainesville,ga,305045657,flna,42142483,9,0.977709949
walmart sc 5151,825 cartersville hwy se,rome,ga,301618449,flna,2142067,10,0.977709949
walmart sc imp 5151,825 cartersville hwy se,rome,ga,301618449,flna,2142068,10,0.977709949
walmart sc 0658,210 shorter ave nw,rome,ga,301654288,flna,1475567,11,0.977709949
walmart sc imp 0658,210 shorter ave nw,rome,ga,301654288,flna,1770293,11,0.977709949
walmart sc 4409,1801 nathan dean byp,rockmart,ga,301532019,flna,2283194,12,0.977709949
walmart sc imp 4409,1801 nathan dean byp,rockmart,ga,301532019,flna,2283195,12,0.977709949
walmart sc 727,109 davis rd,cedartown,ga,301254715,flna,101624,13,0.983407199
walmart sc imp 727,109 davis rd,cedartown,ga,301254715,flna,1770070,13,0.983407199
walmart sc 756,13427 highway 27,trion,ga,307531549,flna,175339,14,0.983407199
walmart sc imp 756,13427 highway 27,trion,ga,307531549,flna,1769918,14,0.983407199
walmart sc 1070,88 highland xing,ellijay,ga,305406052,flna,261444,15,0.977709949
walmart sc imp 1070,88 highland xing,ellijay,ga,305406052,flna,1770084,15,0.977709949
walmart sc 3485,2257 highway 515,blairsville,ga,305128200,flna,2448911,16,0.977709949
walmart sc imp 3485,2257 highway 515,blairsville,ga,305128200,flna,2448912,16,0.977709949
walmart sc 5812,97 commerce dr,blue ridge,ga,305133677,flna,42119714,17,0.977709949
walmart sc imp 5812,97 commerce dr,blue ridge,ga,305133677,flna,42119716,17,0.977709949
walmart sc 515,510 andrews rd,murphy,nc,28906,flna,156123,18,0.983407199
walmart sc imp 515,510 andrews rd,murphy,nc,28906,flna,1770081,18,0.983407199
dollar general 11191,1374 us hwy 76,young harris,ga,30582,flna,2380679,19,0.820548236
dollar general 16923,3800 us hwy 76 w,young harris,ga,30582,flna,42210936,19,0.820548236
shell food,925 hwy 81,bethlehem,ga,30620,flna,1925222,20,0.969274461
shell food mart,830 hwy 81,bethlehem,ga,30620,flna,1925223,20,0.969274461
