Name,Address,City,State,Zip,source,COF,cluster_id,confidence
shephards 12,1931 sw 27th ave,ocala,fl,344712018,pbna,9605189,1,0.990064681
walmart fuel ctr 7221,1100 s main st,north port,fl,342873500,pbna,3606972,148,0.883064017
walmart nhm 7221,1100 s main st,north port,fl,342873500,pbna,3528836,148,0.822505807
north beach camp resort,4125 coastal hwy,st augustine,fl,320841498,pbna,110885,329,0.976726413
ez stop food store,10638 n county road 125,glen st mary,fl,320403902,pbna,7327574,330,0.884910584
shannon lake ent bp,3138 county road 220,middleburg,fl,320684354,pbna,111107,331,0.958688438
h h discount beverages inc,100 n orange ave,green cove springs,fl,320433404,pbna,3633521,332,0.997307956
middleburg bp,2449 blanding blvd,middleburg,fl,320685163,pbna,7674562,333,0.998213768
sunshine food mart 279,1383 n orange ave,green cove springs,fl,320432546,pbna,3381007,335,0.685456271
oceanway food store,12553 n main st,jacksonville,fl,322182610,pbna,126586,336,0.995367229
timuquana food mart,5102-1 timuquana rd,jacksonville,fl,322108046,pbna,9766098,337,0.542328411
sams discount food mart,5703 timuquana rd,jacksonville,fl,322108058,pbna,5424692,338,0.997960746
timuquana bp,5406 timuquana rd,jacksonville,fl,322108051,pbna,111446,339,0.997637034
cherkos food mart,5397 timuquana rd,jacksonville,fl,322108038,pbna,3535310,340,0.417366493
amba food mart,13547 atlantic blvd,jacksonville,fl,322253256,pbna,7665823,341,0.998213768
hagan ace hardware,1022 blanding blvd,orange park,fl,320656702,pbna,7337408,342,0.978442669
eastwood discount,51114 us highway 1,hilliard,fl,32046,pbna,3384204,343,0.981408358
ronnies food mart,9071 w beaver st,jacksonville,fl,322202211,pbna,7060562,344,0.998213768
hill top food mart,1604 idlewild ave,green cove springs,fl,320433616,pbna,9697145,345,0.892821491
best price variety,5118 county road 218,middleburg,fl,320683554,pbna,7176702,346,0.994474411
hilliard discount beverage,551856 us highway 1 ste 103,hilliard,fl,320468829,pbna,7060763,347,0.991243362
shad liquor,5285 shad rd ste 202,jacksonville,fl,322572038,pbna,9948544,348,0.95764792
hagan ace hardware,12501 san jose blvd,jacksonville,fl,322232644,pbna,7337410,349,0.998213768
hagan ace hardware,3050 us highway 1 s,st augustine,fl,320866306,pbna,7337405,350,0.996972382
hagan ace hardware,3033 hwy a1a s,st augustine,fl,320800000,pbna,7337404,351,0.410066599
hagan ace hardware,6567 us highway 90,glen st mary,fl,320405053,pbna,7343038,352,0.997973383
skylight discount beverage,8257 normandy blvd ste 6,jacksonville,fl,322216689,pbna,3871793,353,0.903267682
pats discount store,2110 us highway 1 s,st augustine,fl,320864237,pbna,124899,354,0.933053553
broudy liquors 3-chill,35 n ponce de leon blvd,st augustine,fl,320843500,pbna,7790611,355,0.947336614
state line discount,555165 us highway 1,hilliard,fl,320462853,pbna,9598852,357,0.998213768
safeway discount beverage 0003,1124 3rd st n,jacksonville beach,fl,322507241,pbna,9670263,358,0.9977296
joe mart,6270 powers ave,jacksonville,fl,322172216,pbna,9835093,359,0.981892228
a1a food store,2821 state road a1a,jacksonville,fl,322332843,pbna,9937650,360,0.998213768
mayport food store,2550 mayport rd,jacksonville,fl,322332802,pbna,3707563,361,0.998213768
cassat ave sunoco,551 cassat ave,jacksonville,fl,322543774,pbna,3409947,362,0.998213768
old town food mart,905 state road 207,st augustine,fl,320869315,pbna,3375276,363,0.996972382
walia ibex,9012 new kings rd,jacksonville,fl,322192627,pbna,3679671,364,0.997648776
blanding grocery,2816 blanding blvd,middleburg,fl,320686335,pbna,9767736,365,0.998213768
discount beverage mart,11167 w beaver st,jacksonville,fl,322201737,pbna,3618621,366,0.997835279
dinsmore meats,11058 new kings rd,jacksonville,fl,322192138,pbna,3700410,367,0.998213768
