,cluster_id_pair1,Name_pair1,City_pair1,Zip_pair1,Address_pair1,gender_field_pair1,source_pair1,age_pair1,cluster_id_pair2,Name_pair2,City_pair2,Zip_pair2,Address_pair2,gender_field_pair2,source_pair2,age_pair2
0,148,walmart fuel ctr 7221,northport,342873500,1100smainst,gender_field,pbna,,148,walmart nhm 7221,northport,342873500,1100smainst,gender_field,pbna,
1,454,harris teeter 0034 csd,fernandinabeach,320345597,4800firstcoasthwy,gender_field,pbna,,454,harris teeter 0034 ncb,fernandinabeach,320345597,4800firstcoasthwy,gender_field,pbna,
2,486,easy stop food store llc,callahan,320118126,542113ushighway1,gender_field,pbna,,486,ez stop food store,callahan,320118126,542113ushighway1,gender_field,pbna,
4,337,timuquana food mart,jacksonville,322108046,5102-1timuquanard,gender_field,pbna,,339,timuquana bp,jacksonville,322108051,5406timuquanard,gender_field,pbna,
5,337,timuquana food mart,jacksonville,322108046,5102-1timuquanard,gender_field,pbna,,340,cherkos food mart,jacksonville,322108038,5397timuquanard,gender_field,pbna,
6,339,timuquana bp,jacksonville,322108051,5406timuquanard,gender_field,pbna,,340,cherkos food mart,jacksonville,322108038,5397timuquanard,gender_field,pbna,
7,349,hagan ace hardware,jacksonville,322232644,12501sanjoseblvd,gender_field,pbna,,432,winn-dixie 0141,jacksonville,322230756,11701sanjoseblvd,gender_field,pbna,
8,364,walia ibex,jacksonville,322192627,9012newkingsrd,gender_field,pbna,,367,dinsmore meats,jacksonville,322192138,11058newkingsrd,gender_field,pbna,
9,385,emesa express no 2,fernandinabeach,320344452,2135sadlerrd,gender_field,pbna,,465,dollar tree 2804,fernandinabeach,320344752,814sadlerrd,gender_field,pbna,
10,409,sams club dc 6363,jacksonville,322446609,6373youngermancir,gender_field,pbna,,409,sams club ms 6363,jacksonville,322446609,6373youngermancir,gender_field,pbna,
11,409,sams club dc 6363,jacksonville,322446609,6373youngermancir,gender_field,pbna,,409,sams club cafe 6363,jacksonville,322446609,6373youngermancir,gender_field,pbna,
12,409,sams club ms 6363,jacksonville,322446609,6373youngermancir,gender_field,pbna,,409,sams club cafe 6363,jacksonville,322446609,6373youngermancir,gender_field,pbna,
14,456,a1a gas mart,fernandinabeach,320343705,816s8thst,gender_field,pbna,,461,winn-dixie 0084,fernandinabeach,320343073,1745s8thst,gender_field,pbna,
15,459,circle k 2745033,fernandinabeach,320348680,3062s8thst,gender_field,pbna,,463,circle k 2745046,fernandinabeach,320343060,1982s8thst,gender_field,pbna,
